852282	295074
879066	336697
844281.74	292588.38
848200	266500
875700	323010
875651	322989
875600	322956
879530	283110
870330	271120
881300	267300
883322	278653
865410	286550
882138.5	279865.44
882080	280180
870517.79	311132.45
869927	311994
870279	311404
870174	312081
840240	303510
882080	280180
872006	283282
872036	283291
882777.66	277878.2
873883	281654
881313.13	298135.43
855800	305690
829083	314192
856716	312931
891800	315800
856237	276974
865779	310663
837871	302441
880617	311347
863921	298095
876871	279938
891537	273226
887961	296218
872090	289090
850997	318642
883252	326459
891558	273163
851242	318495
855568	265340
893790	291673
892500	295500
876000	293540
844605	280692
873439	310687
886128	311314
835321	300171
837293.75	277625.09
839548	293222
876320	283201
855796.45	284178.72
862123	282305
851554	318307
876900	278450
877070.58	297635.3
876241	292902
883574	305941
886302	310128
882108.4	277750.17
882323	280860
875531	291450
892001	314654
851335	309523
868492	313210
854251	270424
862160	302190
884258	264932
868382	313081
872220	280250
857227	312484
855747	270242
874168	312385
882423	280001
877257.68	297113.07
866950	292360
877197	335357
861542	282426
868475	313125
894516	295907
854175.19	282076.8
863210	294413
888952.25	312728.72
853741.36	281517.92
837903	295895
872710	290700
891950	314596
872134.23	295760.96
853769.41	282393.1
855826.49	305531.41
882587.68	278871.43
872580	288322
876937	300152
873700	283940
859310	283440
879214	282068
865375	292057
878731	312099
838037	297251
882540	324010
882070	316660
889002	291490
873620	289290
873250	295790
888779	291485
880910	318270
870860	307300
863559	278905
864490	290846
865840	305940
858624	273993
855585	286306
880810	285922
837037.12	304566.29
855342	276989
885078	303974
848724	302620
883722	278047
837079	304783
887208	314093
866672	292561
858813	275241
874060	290080
841034	284072
863879	295114
854876.09	282086.42
881394.51	283278.29
870098	309595
873750	311090
888804	299827
876802	300324
873291	289869
858346	271897
885803	304475
877305	329509
887402	303761
887706	310204
862085	281841
856193	279872
881990	323610
840350	303510
839348	293259
876010	296740
861507	271895
873888	321466
868077	299498
883704	337235
863787	279646
857563	271620
880210	312365
880262	311049
893061	297909
888786	291817
877528	297031
883025	279105
885200	320660
875624	312116
883010	320980
855417.39	277826.2
875130	291110
870142	324091
886781	305359
872465	296167
882750.12	318038.3
877480	299380
860476	309139
890716.19	292025.34
865555	310785
856129	286441
853382	284644
882920	320700
872800	301238
879752	293865
887204.79	305521.62
879726	286009
879650	312000
891848	293279
878490	312590
892566	292567
888305	310286
873898	295579
876266	325948
896190.78	283911.45
885283.69	332236.19
882068.7	324072
873504	296278
